application_id,session_id,user_id,service_code,channel,status,time_to_submit_sec,submitted_at
A4000,S2717,U1355,ID_REPLACEMENT,web,completed,517,2025-04-04
A4001,S2143,U1486,LAND,web,completed,263,2025-04-29
A4002,S2332,U1139,DL,voice,completed,606,2025-01-22
A4003,S2372,U1268,ID_REPLACEMENT,voice,abandoned,392,2025-04-14
A4004,S3198,U1139,DL,ussd,failed,351,2025-01-15
A4005,S2216,U1461,ID_REPLACEMENT,web,failed,415,2025-03-23
A4006,S2613,U1265,ID_REPLACEMENT,voice,failed,799,2025-02-04
A4007,S2006,U1171,ID_REPLACEMENT,web,abandoned,301,2025-03-23
A4008,S2016,U1186,BIRTH_CERT,voice,failed,569,2025-04-19
A4009,S2892,U1391,DL,web,completed,462,2025-03-12
A4010,S2471,U1151,ID_REPLACEMENT,voice,completed,59,2025-01-31
A4011,S3125,U1164,DL,web,completed,1717,2025-03-08
A4012,S2912,U1170,BIRTH_CERT,web,completed,289,2025-04-09
A4013,S2464,U1111,LAND,voice,failed,1054,2025-03-13
A4014,S2472,U1344,LAND,web,completed,469,2025-01-29
A4015,S2828,U1263,DL,ussd,completed,478,2025-02-07
A4016,S2328,U1191,DL,web,completed,418,2025-03-20
A4017,S2386,U1460,BIRTH_CERT,voice,abandoned,215,2025-03-07
A4018,S3196,U1066,DL,voice,completed,468,2025-03-11
A4019,S2698,U1200,BIRTH_CERT,voice,failed,568,2025-04-21
A4020,S3021,U1423,DL,web,completed,983,2025-03-18
A4021,S3055,U1073,BIRTH_CERT,voice,abandoned,731,2025-01-15
A4022,S2768,U1494,BIRTH_CERT,voice,abandoned,818,2025-01-16
A4023,S2103,U1301,LAND,voice,completed,1774,2025-03-28
A4024,S2007,U1466,LAND,ussd,abandoned,441,2025-04-22
A4025,S2226,U1091,DL,ussd,abandoned,1367,2025-04-13
A4026,S2218,U1401,BIRTH_CERT,web,completed,355,2025-02-08
A4027,S2055,U1209,DL,voice,abandoned,666,2025-03-01
A4028,S2027,U1071,ID_REPLACEMENT,web,abandoned,472,2025-02-23
A4029,S2364,U1232,LAND,web,abandoned,526,2025-02-14
A4030,S2875,U1231,DL,voice,completed,216,2025-03-27
A4031,S2524,U1135,ID_REPLACEMENT,voice,completed,401,2025-03-23
A4032,S2894,U1186,BIRTH_CERT,voice,completed,646,2025-01-04
A4033,S2791,U1035,ID_REPLACEMENT,voice,failed,737,2025-02-05
A4034,S2915,U1351,LAND,voice,completed,600,2025-03-25
A4035,S2439,U1020,BIRTH_CERT,voice,abandoned,303,2025-03-19
A4036,S2080,U1492,DL,ussd,completed,484,2025-03-25
A4037,S2799,U1258,LAND,web,abandoned,642,2025-01-11
A4038,S3092,U1087,LAND,web,completed,75,2025-01-01
A4039,S3143,U1015,LAND,voice,abandoned,1608,2025-03-11
A4040,S2436,U1210,DL,web,completed,581,2025-01-16
A4041,S2774,U1054,DL,web,abandoned,874,2025-04-20
A4042,S2391,U1149,ID_REPLACEMENT,voice,completed,350,2025-02-24
A4043,S2918,U1277,ID_REPLACEMENT,ussd,abandoned,96,2025-02-22
A4044,S2874,U1112,BIRTH_CERT,web,completed,957,2025-04-10
A4045,S2214,U1332,LAND,web,abandoned,479,2025-03-05
A4046,S2844,U1395,ID_REPLACEMENT,voice,completed,914,2025-01-24
A4047,S2189,U1443,BIRTH_CERT,voice,abandoned,1687,2025-03-04
A4048,S3196,U1475,DL,voice,completed,613,2025-03-16
A4049,S2214,U1455,ID_REPLACEMENT,web,completed,411,2025-03-07
A4050,S2808,U1008,BIRTH_CERT,ussd,completed,279,2025-03-29
A4051,S3134,U1083,LAND,web,failed,670,2025-02-21
A4052,S3033,U1462,LAND,voice,failed,334,2025-01-04
A4053,S2491,U1451,ID_REPLACEMENT,ussd,completed,359,2025-03-07
A4054,S3195,U1023,LAND,ussd,abandoned,60,2025-02-09
A4055,S2651,U1383,ID_REPLACEMENT,voice,completed,763,2025-03-14
A4056,S3175,U1047,LAND,voice,failed,799,2025-04-23
A4057,S2981,U1428,LAND,voice,completed,54,2025-02-09
A4058,S2961,U1261,DL,voice,completed,549,2025-03-24
A4059,S2495,U1119,BIRTH_CERT,web,failed,1464,2025-02-08
A4060,S2018,U1447,LAND,ussd,completed,774,2025-03-23
A4061,S2266,U1086,DL,ussd,completed,993,2025-01-09
A4062,S2709,U1359,BIRTH_CERT,voice,completed,795,2025-02-13
A4063,S2815,U1398,LAND,voice,completed,76,2025-01-29
A4064,S2887,U1285,DL,voice,completed,1215,2025-03-22
A4065,S2320,U1467,ID_REPLACEMENT,voice,completed,270,2025-04-27
A4066,S2142,U1282,LAND,voice,completed,222,2025-04-14
A4067,S2948,U1410,LAND,voice,failed,130,2025-02-20
A4068,S2305,U1225,BIRTH_CERT,web,failed,621,2025-01-05
A4069,S2786,U1224,LAND,voice,completed,169,2025-02-08
A4070,S2741,U1116,DL,web,abandoned,269,2025-04-01
A4071,S2272,U1185,BIRTH_CERT,voice,completed,693,2025-02-13
A4072,S2955,U1265,BIRTH_CERT,ussd,abandoned,437,2025-01-15
A4073,S2401,U1456,BIRTH_CERT,ussd,completed,357,2025-04-17
A4074,S2187,U1071,BIRTH_CERT,ussd,completed,153,2025-03-30
A4075,S2921,U1205,LAND,voice,failed,905,2025-03-03
A4076,S2161,U1128,BIRTH_CERT,ussd,completed,467,2025-03-26
A4077,S2849,U1073,LAND,voice,completed,845,2025-02-09
A4078,S2569,U1003,DL,web,failed,1512,2025-01-27
A4079,S2062,U1186,LAND,voice,failed,119,2025-03-28
A4080,S2756,U1465,DL,voice,abandoned,956,2025-01-18
A4081,S2057,U1477,DL,ussd,completed,382,2025-03-19
A4082,S3171,U1040,BIRTH_CERT,web,completed,939,2025-01-13
A4083,S2828,U1089,DL,ussd,completed,280,2025-02-10
A4084,S3011,U1426,ID_REPLACEMENT,voice,completed,475,2025-03-26
A4085,S3193,U1397,ID_REPLACEMENT,web,abandoned,1575,2025-02-21
A4086,S2560,U1412,BIRTH_CERT,voice,abandoned,375,2025-03-31
A4087,S3105,U1242,DL,voice,failed,558,2025-04-15
A4088,S3090,U1200,LAND,web,failed,113,2025-02-27
A4089,S2987,U1292,LAND,voice,failed,293,2025-02-03
A4090,S2464,U1113,LAND,voice,completed,390,2025-03-12
A4091,S2982,U1371,ID_REPLACEMENT,voice,abandoned,44,2025-01-02
A4092,S2802,U1149,BIRTH_CERT,voice,abandoned,320,2025-03-19
A4093,S2226,U1087,DL,voice,completed,1700,2025-02-15
A4094,S2728,U1226,DL,ussd,abandoned,310,2025-01-08
A4095,S2337,U1120,DL,web,completed,297,2025-04-23
A4096,S2588,U1291,DL,web,completed,818,2025-03-03
A4097,S3139,U1222,DL,voice,completed,705,2025-04-02
A4098,S2312,U1185,ID_REPLACEMENT,voice,completed,195,2025-03-15
A4099,S2060,U1142,LAND,web,completed,223,2025-04-08
A4100,S2942,U1188,BIRTH_CERT,voice,failed,202,2025-01-19
A4101,S2977,U1390,DL,web,completed,906,2025-04-03
A4102,S2030,U1226,ID_REPLACEMENT,web,failed,543,2025-01-16
A4103,S2274,U1090,LAND,ussd,abandoned,390,2025-02-02
A4104,S2839,U1107,ID_REPLACEMENT,ussd,completed,670,2025-03-11
A4105,S2327,U1169,DL,voice,abandoned,314,2025-04-23
A4106,S2720,U1225,BIRTH_CERT,ussd,failed,567,2025-02-14
A4107,S2389,U1024,DL,web,completed,909,2025-03-17
A4108,S2887,U1376,DL,web,completed,461,2025-04-01
A4109,S2718,U1063,BIRTH_CERT,voice,completed,574,2025-02-20
A4110,S2866,U1299,ID_REPLACEMENT,ussd,completed,62,2025-03-06
A4111,S2568,U1261,LAND,voice,abandoned,554,2025-01-19
A4112,S2704,U1003,LAND,voice,abandoned,720,2025-03-29
A4113,S2433,U1065,DL,voice,abandoned,766,2025-04-27
A4114,S2536,U1382,DL,voice,abandoned,524,2025-03-31
A4115,S2470,U1230,DL,ussd,failed,488,2025-03-12
A4116,S2054,U1013,LAND,voice,completed,413,2025-03-12
A4117,S2700,U1387,DL,voice,abandoned,218,2025-01-23
A4118,S2236,U1290,ID_REPLACEMENT,voice,completed,744,2025-04-12
A4119,S2869,U1332,LAND,voice,completed,493,2025-01-08
A4120,S2224,U1249,ID_REPLACEMENT,voice,completed,1196,2025-04-15
A4121,S2750,U1122,BIRTH_CERT,voice,completed,327,2025-01-06
A4122,S2682,U1220,ID_REPLACEMENT,voice,abandoned,468,2025-02-10
A4123,S2409,U1113,LAND,voice,failed,93,2025-02-24
A4124,S2242,U1161,DL,voice,completed,1805,2025-04-17
A4125,S3152,U1153,LAND,ussd,failed,1677,2025-01-01
A4126,S2463,U1234,ID_REPLACEMENT,web,completed,569,2025-01-01
A4127,S2686,U1486,BIRTH_CERT,web,completed,1063,2025-03-01
A4128,S2530,U1311,DL,ussd,completed,814,2025-03-30
A4129,S2061,U1345,ID_REPLACEMENT,web,failed,665,2025-01-13
A4130,S2410,U1451,BIRTH_CERT,voice,completed,1785,2025-04-17
A4131,S2593,U1379,LAND,web,completed,147,2025-01-25
