turn_id,session_id,turn_number,speaker,detected_intent,intent_confidence,asr_confidence,error_type,turn_duration_sec,created_at
T3000,S2840,6,system,repeat,0.61,0.83,misunderstanding,10,2025-02-21
T3001,S3094,8,user,start_application,0.59,0.6,,8,2025-02-19
T3002,S2589,10,user,repeat,0.57,0.94,,8,2025-03-03
T3003,S3153,14,system,start_application,0.62,0.67,,3,2025-02-24
T3004,S2888,4,system,service_lookup,0.89,0.29,silence,12,2025-02-02
T3005,S2042,7,user,service_lookup,0.99,0.29,silence,14,2025-02-22
T3006,S2519,11,user,unknown,0.7,0.64,misunderstanding,8,2025-01-13
T3007,S3036,3,user,service_lookup,0.93,0.71,,5,2025-02-26
T3008,S2724,8,user,service_lookup,0.73,0.89,,5,2025-04-15
T3009,S2622,1,system,service_lookup,0.65,0.72,,10,2025-02-21
T3010,S2987,4,user,service_lookup,0.54,0.74,misunderstanding,5,2025-01-03
T3011,S2802,8,user,start_application,0.74,0.78,,4,2025-01-15
T3012,S2534,10,system,start_application,0.49,0.61,,6,2025-04-04
T3013,S2301,4,user,unknown,0.63,0.68,,7,2025-04-10
T3014,S2526,2,system,repeat,0.74,0.55,,9,2025-03-16
T3015,S3138,2,user,service_lookup,0.78,0.79,,5,2025-03-09
T3016,S2459,4,system,repeat,0.78,0.81,,10,2025-04-16
T3017,S2831,13,system,repeat,0.93,0.89,silence,4,2025-04-17
T3018,S2504,4,user,unknown,0.9,0.7,,6,2025-01-28
T3019,S2931,2,system,start_application,0.72,0.69,,12,2025-02-08
T3020,S2324,7,system,service_lookup,0.84,0.58,misunderstanding,4,2025-04-23
T3021,S2578,6,system,repeat,0.81,0.79,,7,2025-02-25
T3022,S2760,11,user,repeat,0.61,0.78,,4,2025-01-30
T3023,S3198,3,user,start_application,0.75,0.7,,8,2025-02-17
T3024,S2850,8,user,service_lookup,0.68,0.86,,13,2025-02-23
T3025,S3195,8,user,start_application,0.68,0.88,,12,2025-03-07
T3026,S2959,1,user,service_lookup,0.62,0.73,,13,2025-04-22
T3027,S2501,3,user,service_lookup,0.73,0.9,,4,2025-03-19
T3028,S2333,5,system,service_lookup,0.5,0.88,,6,2025-03-05
