s.session_id,s.user_id,channel,language,total_duration_sec,s.total_turns,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,session_date,session_month,region,is_disabled,is_first_time_user,is_vulnerable_user,avg_asr_confidence,avg_intent_confidence,misunderstanding_rate,silence_rate,is_recovered,is_escalated,had_errors,user_turns,system_turns,total_error_turns,misunderstanding_turns,silence_turns,noise_turns,turn_error_rate_pct,repeat_intent_rate_pct,intent_service_lookup_count,intent_start_application_count,intent_repeat_count,intent_unknown_count,avg_turn_intent_confidence,avg_turn_asr_confidence,total_application_attempts,had_successful_application,applications_completed,applications_abandoned,applications_failed,services_attempted,primary_service_code,application_channel,avg_time_to_submit_sec,high_confusion_session,high_misunderstanding_session,high_silence_session,had_application_attempt,end_to_end_success,vulnerable_user_completed
S2000,U1303,voice,KINYARWANDA,173,11,abandoned,0,1,0,system,"February 17, 2025","February 1, 2025",urban,0,0,0,0.71,0.85,0.33,0.17,0,0,0,5,1,3,2,1,0,50,0,2,4,0,0,0,0,0,0,0,0,0,[],,,,0,1,0,0,0,0
S2001,U1449,voice,KINYARWANDA,150,4,completed,1,0,0,,"February 20, 2025","February 1, 2025",rural,0,0,0,0.8,0.67,0,0,1,0,0,2,1,0,0,0,0,0,33.3,1,1,1,0,0,0,0,0,0,0,0,[],,,,1,0,0,0,0,0
S2002,U1453,voice,KINYARWANDA,128,11,transferred,0,0,1,,"April 7, 2025","April 1, 2025",urban,0,0,0,0.77,0.85,0.4,0,0,0,0,2,3,2,2,0,0,40,20,2,1,1,1,0,0,1,0,0,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,1,0,1,0,0
S2003,U1411,voice,KINYARWANDA,63,14,completed,1,0,0,,"April 29, 2025","April 1, 2025",urban,0,1,1,0.74,0.7,0.25,0,0,0,0,2,2,1,1,0,0,25,25,0,2,1,1,0,0,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,web,,1,0,0,1,0,1
S2004,U1116,voice,KINYARWANDA,38,10,abandoned,0,1,0,,"April 5, 2025","April 1, 2025",urban,1,1,1,0.9,0.69,0.33,0,0,0,0,2,1,1,1,0,0,33.3,0,1,2,0,0,0,0,1,1,1,0,0,[LAND],LAND,web,946,0,1,0,1,0,0
S2005,U1220,voice,KINYARWANDA,96,11,completed,1,0,0,,"March 11, 2025","March 1, 2025",urban,0,0,0,0.86,0.56,0,0.33,0,1,0,0,3,1,0,1,0,33.3,0,2,0,0,1,0,0,0,0,0,0,0,[],,,,0,0,1,0,0,0
S2006,U1153,voice,KINYARWANDA,46,6,completed,1,0,0,system,"March 15, 2025","March 1, 2025",rural,0,0,0,0.64,0.69,0.2,0.2,1,0,0,0,5,2,1,1,0,40,20,3,1,1,0,0,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,1,0,0
S2007,U1152,voice,KINYARWANDA,130,3,abandoned,0,1,0,system,"March 21, 2025","March 1, 2025",rural,0,0,0,0.7,0.78,0,0,1,0,0,2,4,0,0,0,0,0,0,3,2,0,1,0,0,3,0,0,2,1,"[LAND, DL, BIRTH_CERT]",LAND,web,,0,0,0,1,0,0
S2008,U1011,voice,KINYARWANDA,64,3,abandoned,0,1,0,,"March 9, 2025","March 1, 2025",urban,0,0,0,0.78,0.73,0,0.14,1,0,0,2,5,2,0,1,1,28.6,0,2,3,0,2,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
S2009,U1132,voice,KINYARWANDA,30,7,abandoned,0,1,0,,"April 28, 2025","April 1, 2025",rural,0,1,1,0.8,0.63,0.2,0,1,0,0,2,3,1,1,0,0,20,20,1,3,1,0,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0
