session_id,user_id,channel,language,session_date,session_month,region,is_disabled,is_first_time_user,is_vulnerable_user,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,total_duration_sec,total_turns,avg_asr_confidence,avg_intent_confidence,misunderstanding_rate,silence_rate,is_recovered,is_escalated,had_errors,user_turns,system_turns,total_error_turns,misunderstanding_turns,silence_turns,noise_turns,turn_error_rate_pct,repeat_intent_rate_pct,intent_service_lookup_count,intent_start_application_count,intent_repeat_count,intent_unknown_count,total_application_attempts,had_successful_application,applications_completed,applications_abandoned,applications_failed,services_attempted,primary_service_code,application_channel,avg_time_to_submit_sec,kpi_accessibility_segment,kpi_vulnerable_completed,kpi_disabled_completed,kpi_firsttime_completed,kpi_vulnerable_escalated,kpi_end_to_end_success,kpi_error_recovery_success,kpi_high_misunderstanding,kpi_high_silence,kpi_high_confusion,kpi_reached_application,kpi_application_success,ai_quality_score
S2000,U1303,voice,KINYARWANDA,"February 17, 2025","February 1, 2025",urban,0,0,0,abandoned,0,1,0,system,173,11,0.71,0.85,0.33,0.17,0,0,0,5,1,3,2,1,0,50,0,2,4,0,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,1,0,0,0,0,86.7
S2001,U1449,voice,KINYARWANDA,"February 20, 2025","February 1, 2025",rural,0,0,0,completed,1,0,0,,150,4,0.8,0.67,0,0,1,0,0,2,1,0,0,0,0,0,33.3,1,1,1,0,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,1,0,0,100
S2002,U1453,voice,KINYARWANDA,"April 7, 2025","April 1, 2025",urban,0,0,0,transferred,0,0,1,,128,11,0.77,0.85,0.4,0,0,0,0,2,3,2,2,0,0,40,20,2,1,1,1,1,0,0,0,1,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,1,0,0,1,0,86
S2003,U1411,voice,KINYARWANDA,"April 29, 2025","April 1, 2025",urban,0,1,1,completed,1,0,0,,63,14,0.74,0.7,0.25,0,0,0,0,2,2,1,1,0,0,25,25,0,2,1,1,1,0,0,1,0,[BIRTH_CERT],BIRTH_CERT,web,,1,1,0,1,0,0,0,0,0,1,1,0,100
S2004,U1116,voice,KINYARWANDA,"April 5, 2025","April 1, 2025",urban,1,1,1,abandoned,0,1,0,,38,10,0.9,0.69,0.33,0,0,0,0,2,1,1,1,0,0,33.3,0,1,2,0,0,1,1,1,0,0,[LAND],LAND,web,946,1,0,0,0,0,0,0,1,0,0,1,1,90
S2005,U1220,voice,KINYARWANDA,"March 11, 2025","March 1, 2025",urban,0,0,0,completed,1,0,0,,96,11,0.86,0.56,0,0.33,0,1,0,0,3,1,0,1,0,33.3,0,2,0,0,1,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,1,0,0,0,93.3
S2006,U1153,voice,KINYARWANDA,"March 15, 2025","March 1, 2025",rural,0,0,0,completed,1,0,0,system,46,6,0.64,0.69,0.2,0.2,1,0,0,0,5,2,1,1,0,40,20,3,1,1,0,1,0,0,1,0,[ID_REPLACEMENT],ID_REPLACEMENT,web,,0,0,0,0,0,0,0,0,0,0,1,0,100
S2007,U1152,voice,KINYARWANDA,"March 21, 2025","March 1, 2025",rural,0,0,0,abandoned,0,1,0,system,130,3,0.7,0.78,0,0,1,0,0,2,4,0,0,0,0,0,0,3,2,0,1,3,0,0,2,1,"[LAND, DL, BIRTH_CERT]",LAND,web,,0,0,0,0,0,0,0,0,0,0,1,0,100
S2008,U1011,voice,KINYARWANDA,"March 9, 2025","March 1, 2025",urban,0,0,0,abandoned,0,1,0,,64,3,0.78,0.73,0,0.14,1,0,0,2,5,2,0,1,1,28.6,0,2,3,0,2,0,0,0,0,0,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,100
S2009,U1132,voice,KINYARWANDA,"April 28, 2025","April 1, 2025",rural,0,1,1,abandoned,0,1,0,,30,7,0.8,0.63,0.2,0,1,0,0,2,3,1,1,0,0,20,20,1,3,1,0,0,0,0,0,0,[],,,,1,0,0,0,0,0,0,0,0,0,0,0,100
