session_id,user_id,channel,language,total_duration_sec,total_turns,final_outcome,is_completed,is_abandoned,is_transferred,transfer_reason,session_date,session_month
S2000,U1303,voice,KINYARWANDA,173,11,abandoned,0,1,0,system,"February 17, 2025","February 1, 2025"
S2001,U1449,voice,KINYARWANDA,150,4,completed,1,0,0,,"February 20, 2025","February 1, 2025"
S2002,U1453,voice,KINYARWANDA,128,11,transferred,0,0,1,,"April 7, 2025","April 1, 2025"
S2003,U1411,voice,KINYARWANDA,63,14,completed,1,0,0,,"April 29, 2025","April 1, 2025"
S2004,U1116,voice,KINYARWANDA,38,10,abandoned,0,1,0,,"April 5, 2025","April 1, 2025"
S2005,U1220,voice,KINYARWANDA,96,11,completed,1,0,0,,"March 11, 2025","March 1, 2025"
S2006,U1153,voice,KINYARWANDA,46,6,completed,1,0,0,system,"March 15, 2025","March 1, 2025"
S2007,U1152,voice,KINYARWANDA,130,3,abandoned,0,1,0,system,"March 21, 2025","March 1, 2025"
S2008,U1011,voice,KINYARWANDA,64,3,abandoned,0,1,0,,"March 9, 2025","March 1, 2025"
S2009,U1132,voice,KINYARWANDA,30,7,abandoned,0,1,0,,"April 28, 2025","April 1, 2025"
S2010,U1481,voice,KINYARWANDA,142,4,completed,1,0,0,user_request,"January 22, 2025","January 1, 2025"
S2011,U1303,voice,KINYARWANDA,82,10,completed,1,0,0,user_request,"March 18, 2025","March 1, 2025"
S2012,U1292,voice,KINYARWANDA,28,12,completed,1,0,0,,"March 21, 2025","March 1, 2025"
S2013,U1462,voice,KINYARWANDA,209,13,transferred,0,0,1,,"April 26, 2025","April 1, 2025"
S2014,U1299,voice,KINYARWANDA,105,7,completed,1,0,0,,"April 3, 2025","April 1, 2025"
S2015,U1227,voice,KINYARWANDA,204,7,completed,1,0,0,,"January 6, 2025","January 1, 2025"
S2016,U1270,voice,KINYARWANDA,120,4,completed,1,0,0,,"January 26, 2025","January 1, 2025"
S2017,U1042,voice,KINYARWANDA,68,9,abandoned,0,1,0,,"March 16, 2025","March 1, 2025"
S2018,U1431,voice,KINYARWANDA,50,10,completed,1,0,0,repeated_errors,"March 29, 2025","March 1, 2025"
S2019,U1342,voice,KINYARWANDA,154,12,transferred,0,0,1,,"April 3, 2025","April 1, 2025"
S2020,U1325,voice,KINYARWANDA,279,3,completed,1,0,0,,"January 3, 2025","January 1, 2025"
S2021,U1301,voice,KINYARWANDA,145,4,transferred,0,0,1,,"February 21, 2025","February 1, 2025"
S2022,U1497,voice,KINYARWANDA,66,12,completed,1,0,0,user_request,"March 15, 2025","March 1, 2025"
S2023,U1363,voice,KINYARWANDA,124,6,abandoned,0,1,0,user_request,"March 1, 2025","March 1, 2025"
S2024,U1378,voice,KINYARWANDA,44,7,transferred,0,0,1,,"March 4, 2025","March 1, 2025"
S2025,U1426,voice,KINYARWANDA,144,4,completed,1,0,0,,"March 6, 2025","March 1, 2025"
S2026,U1492,voice,KINYARWANDA,183,3,transferred,0,0,1,system,"February 21, 2025","February 1, 2025"
S2027,U1020,voice,KINYARWANDA,73,11,completed,1,0,0,,"April 17, 2025","April 1, 2025"
S2028,U1406,voice,KINYARWANDA,260,3,transferred,0,0,1,,"March 31, 2025","March 1, 2025"
S2029,U1106,voice,KINYARWANDA,65,6,abandoned,0,1,0,,"March 17, 2025","March 1, 2025"
S2030,U1335,voice,KINYARWANDA,123,4,completed,1,0,0,,"January 14, 2025","January 1, 2025"
S2031,U1302,voice,KINYARWANDA,169,13,completed,1,0,0,,"March 30, 2025","March 1, 2025"
S2032,U1116,voice,KINYARWANDA,73,6,completed,1,0,0,system,"March 13, 2025","March 1, 2025"
S2033,U1123,voice,KINYARWANDA,35,10,completed,1,0,0,repeated_errors,"April 17, 2025","April 1, 2025"
S2034,U1398,voice,KINYARWANDA,42,10,completed,1,0,0,,"March 9, 2025","March 1, 2025"
S2035,U1280,voice,KINYARWANDA,78,13,completed,1,0,0,system,"January 28, 2025","January 1, 2025"
S2036,U1291,voice,KINYARWANDA,73,14,completed,1,0,0,,"March 12, 2025","March 1, 2025"
S2037,U1202,voice,KINYARWANDA,98,11,abandoned,0,1,0,,"January 10, 2025","January 1, 2025"
S2038,U1050,voice,KINYARWANDA,148,13,completed,1,0,0,repeated_errors,"April 25, 2025","April 1, 2025"
S2039,U1270,voice,KINYARWANDA,185,14,completed,1,0,0,repeated_errors,"February 26, 2025","February 1, 2025"
S2040,U1323,voice,KINYARWANDA,199,7,abandoned,0,1,0,,"April 10, 2025","April 1, 2025"
S2041,U1276,voice,KINYARWANDA,358,9,completed,1,0,0,,"March 7, 2025","March 1, 2025"
S2042,U1140,voice,KINYARWANDA,51,5,completed,1,0,0,repeated_errors,"March 31, 2025","March 1, 2025"
S2043,U1469,voice,KINYARWANDA,365,12,completed,1,0,0,repeated_errors,"April 27, 2025","April 1, 2025"
S2044,U1274,voice,KINYARWANDA,90,6,transferred,0,0,1,repeated_errors,"February 19, 2025","February 1, 2025"
S2045,U1289,voice,KINYARWANDA,84,12,abandoned,0,1,0,,"January 14, 2025","January 1, 2025"
S2046,U1333,voice,KINYARWANDA,179,11,completed,1,0,0,,"January 16, 2025","January 1, 2025"
S2047,U1380,voice,KINYARWANDA,62,12,abandoned,0,1,0,,"February 23, 2025","February 1, 2025"
S2048,U1451,voice,KINYARWANDA,159,12,completed,1,0,0,,"February 12, 2025","February 1, 2025"
S2049,U1495,voice,KINYARWANDA,271,14,abandoned,0,1,0,system,"February 11, 2025","February 1, 2025"
S2050,U1372,voice,KINYARWANDA,74,3,abandoned,0,1,0,,"March 22, 2025","March 1, 2025"
S2051,U1051,voice,KINYARWANDA,175,4,abandoned,0,1,0,,"April 20, 2025","April 1, 2025"
S2052,U1493,voice,KINYARWANDA,149,7,completed,1,0,0,user_request,"January 22, 2025","January 1, 2025"
